start_time;run_id;gpu;generation;network;n_conv;dim1;kernel_conv;stride_conv;kernel_pool;stride_pool;n_layers;dim2;train_time;end_time;accuracy;num_epochs;loss_log;test_imgs;errors

2019-06-19 15:00:05.728333;20190619150000;cuda:0;0;Net_0;7;[3, 45, 87, 130, 172, 215, 257, 300];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3, 3];4;[300, 3000, 2001, 1003, 5];0;2019-06-19 15:00:21.407635;22.132390096008084;1;[];1979;no errors

2019-06-19 15:00:22.954506;20190619150000;cuda:0;0;Net_1;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:00:38.876143;19.35320869125821;1;[];1979;no errors

2019-06-19 15:00:40.426554;20190619150000;cuda:0;0;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:00:54.632385;25.87165234967155;1;[];1979;no errors

2019-06-19 15:00:56.263932;20190619150000;cuda:0;0;Net_3;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:01:15.458901;22.132390096008084;1;[];1979;no errors

2019-06-19 15:01:16.979736;20190619150000;cuda:0;0;Net_4;6;[3, 52, 102, 151, 201, 250, 300];[2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];7;[2700, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 15:01:31.855866;13.794845881758464;1;[];1979;no errors

2019-06-19 15:01:33.393047;20190619150000;cuda:0;0;Net_5;6;[3, 52, 102, 151, 201, 250, 300];[5, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];6;[1200, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:01:57.365230;25.87165234967155;1;[];1979;no errors

2019-06-19 15:01:58.943079;20190619150000;cuda:0;0;Net_6;7;[3, 45, 87, 130, 172, 215, 257, 300];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];3;[1200, 3000, 1502, 5];0;2019-06-19 15:02:15.188355;22.132390096008084;1;[];1979;no errors

2019-06-19 15:02:16.860092;20190619150000;cuda:0;0;Net_7;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:02:39.922901;19.35320869125821;1;[];1979;no errors

2019-06-19 15:02:41.452973;20190619150000;cuda:0;0;Net_8;5;[3, 62, 121, 181, 240, 300];[3, 3, 3, 3, 3];[1, 1, 1, 1, 1];[2, 2, 2, 2, 2];[3, 3, 3, 3, 3];6;[300, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:02:54.052683;18.84790298130369;1;[];1979;no errors

2019-06-19 15:02:55.607231;20190619150000;cuda:0;0;Net_9;4;[3, 77, 151, 225, 300];[7, 7, 7, 7];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];5;[1200, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:03:24.599980;18.84790298130369;1;[];1979;no errors

2019-06-19 15:03:26.132232;20190619150000;cuda:0;0;Net_10;4;[3, 77, 151, 225, 300];[3, 3, 3, 3];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];4;[1200, 3000, 2001, 1003, 5];0;2019-06-19 15:03:39.289731;13.794845881758464;1;[];1979;no errors

2019-06-19 15:03:40.814788;20190619150000;cuda:0;0;Net_11;7;[3, 45, 87, 130, 172, 215, 257, 300];[6, 6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:04:01.316342;22.132390096008084;1;[];1979;no errors

2019-06-19 15:04:03.970415;20190619150000;cuda:0;1;Net_0;6;[3, 52, 102, 151, 201, 250, 300];[5, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];4;[1200, 3000, 2001, 1003, 5];0;2019-06-19 15:04:27.061136;13.794845881758464;1;[];1979;no errors

2019-06-19 15:04:28.763255;20190619150000;cuda:0;1;Net_1;6;[3, 52, 102, 151, 201, 250, 300];[5, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];6;[2700, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:04:53.902492;19.35320869125821;1;[];1979;no errors

2019-06-19 15:04:55.511491;20190619150000;cuda:0;1;Net_2;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[3, 3, 3, 3];[2, 2, 2, 2];5;[50700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:05:36.881587;18.84790298130369;1;[];1979;no errors

2019-06-19 15:05:38.545029;20190619150000;cuda:0;1;Net_3;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[3, 3, 3, 3];[2, 2, 2, 2];5;[58800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:06:33.414073;13.794845881758464;1;[];1979;no errors

2019-06-19 15:06:35.101384;20190619150000;cuda:0;1;Net_4;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];4;[58800, 3000, 2001, 1003, 5];0;2019-06-19 15:07:08.352958;22.132390096008084;1;[];1979;no errors

2019-06-19 15:07:11.055860;20190619150000;cuda:0;2;Net_0;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:07:26.639015;19.35320869125821;1;[];1979;no errors

2019-06-19 15:07:28.181051;20190619150000;cuda:0;2;Net_1;7;[3, 45, 87, 130, 172, 215, 257, 300];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3, 3];6;[300, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:07:44.712287;18.84790298130369;1;[];1979;no errors

2019-06-19 15:07:46.342501;20190619150000;cuda:0;2;Net_2;7;[3, 45, 87, 130, 172, 215, 257, 300];[6, 6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2, 2];4;[300, 3000, 2001, 1003, 5];0;2019-06-19 15:08:14.820802;19.35320869125821;1;[];1979;no errors

2019-06-19 15:08:16.529810;20190619150000;cuda:0;2;Net_3;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];6;[1200, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:08:35.821117;13.794845881758464;1;[];1979;no errors

2019-06-19 15:08:37.383795;20190619150000;cuda:0;2;Net_4;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];3;[300, 3000, 1502, 5];0;2019-06-19 15:08:56.536708;25.87165234967155;1;[];1979;no errors

2019-06-19 15:08:58.123681;20190619150000;cuda:0;2;Net_5;7;[3, 45, 87, 130, 172, 215, 257, 300];[6, 6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];4;[1200, 3000, 2001, 1003, 5];0;2019-06-19 15:09:26.614408;19.35320869125821;1;[];1979;no errors

2019-06-19 15:09:28.233879;20190619150000;cuda:0;2;Net_6;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:09:43.934516;25.87165234967155;1;[];1979;no errors

2019-06-19 15:09:46.539861;20190619150000;cuda:0;3;Net_0;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];6;[2700, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:10:09.349976;19.35320869125821;1;[];1979;no errors

2019-06-19 15:10:10.914854;20190619150000;cuda:0;3;Net_1;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:10:30.433555;18.84790298130369;1;[];1979;no errors

2019-06-19 15:10:32.028394;20190619150000;cuda:0;3;Net_2;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:10:47.760711;19.35320869125821;1;[];1979;no errors

2019-06-19 15:10:49.347337;20190619150000;cuda:0;3;Net_3;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:11:05.095364;25.87165234967155;1;[];1979;no errors

2019-06-19 15:11:06.751348;20190619150000;cuda:0;3;Net_4;7;[3, 45, 87, 130, 172, 215, 257, 300];[6, 6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];6;[1200, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:11:35.582595;18.84790298130369;1;[];1979;no errors

2019-06-19 15:11:38.143491;20190619150000;cuda:0;4;Net_0;7;[3, 45, 87, 130, 172, 215, 257, 300];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];5;[1200, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:11:55.673383;13.794845881758464;1;[];1979;no errors

2019-06-19 15:11:57.220096;20190619150000;cuda:0;4;Net_1;6;[3, 52, 102, 151, 201, 250, 300];[2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];4;[300, 3000, 2001, 1003, 5];0;2019-06-19 15:12:09.300354;25.87165234967155;1;[];1979;no errors

2019-06-19 15:12:10.802724;20190619150000;cuda:0;4;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];4;[300, 3000, 2001, 1003, 5];0;2019-06-19 15:12:25.614917;25.87165234967155;1;[];1979;no errors

2019-06-19 15:12:27.173263;20190619150000;cuda:0;4;Net_3;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:12:42.730257;22.132390096008084;1;[];1979;no errors

2019-06-19 15:12:44.361830;20190619150000;cuda:0;4;Net_4;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:12:59.682932;13.794845881758464;1;[];1979;no errors

2019-06-19 15:13:02.234199;20190619150000;cuda:0;5;Net_0;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:13:17.338425;25.87165234967155;1;[];1979;no errors

2019-06-19 15:13:18.843889;20190619150000;cuda:0;5;Net_1;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:13:38.711797;19.35320869125821;1;[];1979;no errors

2019-06-19 15:13:40.284455;20190619150000;cuda:0;5;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];5;[4800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:13:58.570678;13.794845881758464;1;[];1979;no errors

2019-06-19 15:14:00.134447;20190619150000;cuda:0;5;Net_3;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];3;[300, 3000, 1502, 5];0;2019-06-19 15:14:14.575002;25.87165234967155;1;[];1979;no errors

2019-06-19 15:14:16.180845;20190619150000;cuda:0;5;Net_4;6;[3, 52, 102, 151, 201, 250, 300];[2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];4;[4800, 3000, 2001, 1003, 5];0;2019-06-19 15:14:30.725932;22.132390096008084;1;[];1979;no errors

2019-06-19 15:14:32.308998;20190619150000;cuda:0;5;Net_5;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];5;[58800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:15:26.423155;25.87165234967155;1;[];1979;no errors

2019-06-19 15:15:29.113507;20190619150000;cuda:0;6;Net_0;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:15:44.469426;25.87165234967155;1;[];1979;no errors

2019-06-19 15:15:46.073843;20190619150000;cuda:0;6;Net_1;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:15:59.596060;22.132390096008084;1;[];1979;no errors

2019-06-19 15:16:01.191910;20190619150000;cuda:0;6;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];3;[4800, 3000, 1502, 5];0;2019-06-19 15:16:30.521880;19.35320869125821;1;[];1979;no errors

2019-06-19 15:16:32.083215;20190619150000;cuda:0;6;Net_3;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];6;[58800, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:17:26.899832;13.794845881758464;1;[];1979;no errors

2019-06-19 15:17:28.523921;20190619150000;cuda:0;6;Net_4;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[3, 3, 3, 3];[2, 2, 2, 2];4;[58800, 3000, 2001, 1003, 5];0;2019-06-19 15:18:23.100267;25.87165234967155;1;[];1979;no errors

2019-06-19 15:18:24.746656;20190619150000;cuda:0;6;Net_5;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];5;[4800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:18:43.488844;22.132390096008084;1;[];1979;no errors

2019-06-19 15:18:45.051328;20190619150000;cuda:0;6;Net_6;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:19:00.473183;13.794845881758464;1;[];1979;no errors

2019-06-19 15:19:02.050779;20190619150000;cuda:0;6;Net_7;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:19:21.662001;18.84790298130369;1;[];1979;no errors

2019-06-19 15:19:24.282918;20190619150000;cuda:0;7;Net_0;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:19:54.446121;19.35320869125821;1;[];1979;no errors

2019-06-19 15:19:56.168204;20190619150000;cuda:0;7;Net_1;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:20:16.146691;13.794845881758464;1;[];1979;no errors

2019-06-19 15:20:17.701680;20190619150000;cuda:0;7;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:20:37.931917;22.132390096008084;1;[];1979;no errors

2019-06-19 15:20:39.430741;20190619150000;cuda:0;7;Net_3;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:20:52.702110;25.87165234967155;1;[];1979;no errors

2019-06-19 15:20:54.287131;20190619150000;cuda:0;7;Net_4;6;[3, 52, 102, 151, 201, 250, 300];[2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:21:06.887393;22.132390096008084;1;[];1979;no errors

